eval_index,approx_update,file,peak_tiles,final_tiles,ticks,status,logged_self_tiles,logged_opp_tiles,logged_winner
1,19,2026-09-02T10-13-30-000_f57cbb10.json,52,0,6381,DEAD,0.0,168958.0,OPPONENT
2,29,2026-09-02T10-20-27-000_39500512.json,52,0,9691,DEAD,0.0,168751.0,OPPONENT
3,39,2026-09-02T10-24-18-000_efb6cb64.json,264,0,4941,DEAD,52.0,169075.0,
4,49,2026-09-02T10-32-19-820_f1b580b4.json,52,52,5941,ALIVE,52.0,169234.0,
5,59,2026-09-02T10-36-18-438_e19a4a05.json,52,52,5731,ALIVE,0.0,168847.0,OPPONENT
6,69,2026-09-02T10-40-09-623_92badf09.json,52,0,6391,DEAD,0.0,168637.0,OPPONENT
7,79,2026-09-02T10-44-12-072_dc047d5b.json,52,0,5101,DEAD,52.0,169235.0,
8,89,2026-09-02T10-47-53-959_a737633c.json,52,52,4251,ALIVE,52.0,169057.0,
9,99,2026-09-02T10-51-46-261_c3273f37.json,52,52,6541,ALIVE,0.0,168912.0,OPPONENT
10,109,2026-09-02T10-55-44-984_a4853f41.json,52,0,5581,DEAD,52.0,169624.0,
11,119,2026-09-02T10-59-19-483_75c1bbeb.json,52,52,6911,ALIVE,0.0,168769.0,OPPONENT
12,129,2026-09-02T11-03-18-119_fe37ccb7.json,52,0,5951,DEAD,0.0,169123.0,OPPONENT
13,139,2026-09-02T11-07-10-515_9084cabf.json,54,0,4891,DEAD,0.0,169268.0,OPPONENT
14,149,2026-09-02T11-11-02-380_3c4906d8.json,52,0,5501,DEAD,0.0,169778.0,OPPONENT
15,159,2026-09-02T11-15-06-592_daea132c.json,52,0,8011,DEAD,52.0,168942.0,
16,169,2026-09-02T11-19-05-982_f3ceb8b4.json,52,52,3821,ALIVE,37969.0,168956.0,
17,179,2026-09-02T11-22-48-521_a2dde822.json,49724,37969,7231,ALIVE,52.0,169799.0,
18,189,2026-09-02T11-26-52-406_29fd3214.json,52,52,5341,ALIVE,52.0,168573.0,
19,199,2026-09-02T11-30-51-363_21fe3cbb.json,52,52,4091,ALIVE,14251.0,168625.0,
20,209,2026-09-02T11-34-52-202_c217509a.json,14251,14251,5741,ALIVE,52.0,169271.0,
21,219,2026-09-02T11-38-24-789_b3739ca8.json,52,52,5021,ALIVE,0.0,169611.0,OPPONENT
22,229,2026-09-02T11-42-19-435_128dd65f.json,52,0,5941,DEAD,0.0,169380.0,OPPONENT
23,239,2026-09-02T11-46-01-812_721ef994.json,52,0,5371,DEAD,0.0,169747.0,OPPONENT
24,249,2026-09-02T11-49-59-769_cc02dea6.json,52,0,5841,DEAD,0.0,170332.0,OPPONENT
25,259,2026-09-02T11-53-52-475_eeabde2f.json,52,0,7271,DEAD,52.0,169211.0,
26,269,2026-09-02T11-57-16-472_f9f4a4fe.json,52,52,3941,ALIVE,0.0,169141.0,OPPONENT
27,279,2026-09-02T12-01-06-473_88bc9790.json,52,0,7081,DEAD,0.0,169537.0,OPPONENT
28,289,2026-09-02T12-05-05-591_92ae3707.json,52,0,5511,DEAD,29588.0,168685.0,
29,299,2026-09-02T12-08-59-209_9bd23721.json,31564,29588,5421,ALIVE,0.0,168555.0,OPPONENT
30,309,2026-09-02T12-12-59-531_b06b93ca.json,52,0,5721,DEAD,0.0,168613.0,OPPONENT
31,319,2026-09-02T12-17-00-618_35eb157d.json,52,0,4741,DEAD,0.0,168585.0,OPPONENT
32,329,2026-09-02T12-20-47-944_da0a9723.json,52,0,6321,DEAD,52.0,169016.0,
33,339,2026-09-02T12-24-48-248_e0f78d2a.json,52,52,5041,ALIVE,34736.0,168681.0,
34,349,2026-09-02T12-28-48-059_d42dc6da.json,37152,34736,8611,ALIVE,23781.0,168820.0,
35,359,2026-09-02T12-32-37-987_ed68906c.json,53900,23781,10151,ALIVE,0.0,169603.0,OPPONENT
36,369,2026-09-02T12-36-23-504_76a85642.json,20987,0,8271,DEAD,17187.0,168977.0,
37,379,2026-09-02T12-40-22-089_3b8dc910.json,28912,17187,9611,ALIVE,0.0,170558.0,OPPONENT
38,389,2026-09-02T12-44-30-737_b78e9fdb.json,52,0,8791,DEAD,0.0,170104.0,OPPONENT
39,399,2026-09-02T12-48-40-812_34b4312a.json,52,0,8271,DEAD,0.0,169804.0,OPPONENT
40,409,2026-09-02T12-52-08-614_97fa2f1c.json,52,0,7461,DEAD,52.0,168707.0,
41,419,2026-09-02T12-55-15-309_a9bf5665.json,52,52,4751,ALIVE,52.0,169389.0,
42,429,2026-09-02T12-58-25-563_3f30f419.json,52,52,5701,ALIVE,52.0,168617.0,
43,439,2026-09-02T13-01-54-718_6cba06f2.json,52,52,7571,ALIVE,0.0,168917.0,OPPONENT
44,449,2026-09-02T13-05-49-479_455e739a.json,52,0,4551,DEAD,0.0,168916.0,OPPONENT
45,459,2026-09-02T13-09-44-760_0dd2ce29.json,52,0,6211,DEAD,52.0,169206.0,
46,469,2026-09-02T13-13-34-023_13c5e4cb.json,52,52,4761,ALIVE,0.0,169526.0,OPPONENT
47,479,2026-09-02T13-17-37-031_33b3e730.json,52,0,5941,DEAD,5280.0,168615.0,
48,489,2026-09-02T13-21-31-014_1aa721a0.json,5280,5280,9061,ALIVE,0.0,168753.0,OPPONENT
49,499,2026-09-02T13-24-52-982_1a34cd6b.json,29124,0,7151,DEAD,52.0,169129.0,
50,509,2026-09-02T13-28-31-380_2712cb83.json,52,52,6271,ALIVE,0.0,170173.0,OPPONENT
51,519,2026-09-02T13-32-33-504_e05bd371.json,52,0,5391,DEAD,0.0,169724.0,OPPONENT
52,529,2026-09-02T13-36-35-431_5a24bca5.json,52,0,5331,DEAD,0.0,169690.0,OPPONENT
53,539,2026-09-02T13-40-34-909_074ae87b.json,52,0,5211,DEAD,0.0,169405.0,OPPONENT
54,549,2026-09-02T13-44-26-649_17c81cf1.json,52,0,7811,DEAD,52.0,169078.0,
55,559,2026-09-02T13-48-27-227_cb84672d.json,52,52,5281,ALIVE,52.0,170474.0,
56,569,2026-09-02T13-52-26-748_4d5bb618.json,52,52,6881,ALIVE,0.0,169927.0,OPPONENT
57,579,2026-09-02T13-56-26-280_6fbb3888.json,7513,0,7101,DEAD,52.0,169035.0,
58,589,2026-09-02T13-59-59-900_c356346a.json,52,52,5211,ALIVE,52.0,170389.0,
59,599,2026-09-02T14-03-47-210_a5f60132.json,52,52,6201,ALIVE,52.0,168690.0,
60,609,2026-09-02T14-09-10-247_f5870375.json,52,52,6871,ALIVE,0.0,169633.0,OPPONENT
61,619,2026-09-02T14-13-08-715_861e7e60.json,52,0,5531,DEAD,0.0,168613.0,OPPONENT
62,629,2026-09-02T14-17-06-029_1d76acf0.json,52,0,4481,DEAD,264.0,169460.0,
63,639,2026-09-02T14-20-52-064_c44a28d5.json,264,264,4461,ALIVE,0.0,168690.0,OPPONENT
64,649,2026-09-02T14-24-45-727_4d01fd69.json,52,0,8991,DEAD,52.0,168729.0,
65,659,2026-09-02T14-28-40-010_835a8edd.json,52,52,5651,ALIVE,36835.0,169036.0,
66,669,2026-09-02T14-36-26-687_3a67d011.json,46231,36835,7991,ALIVE,33900.0,168914.0,
67,679,2026-09-02T14-40-26-500_85f44706.json,36918,33900,6721,ALIVE,40994.0,169561.0,
68,689,2026-09-02T14-45-11-366_7c970506.json,74214,40994,93551,ALIVE,0.0,168640.0,OPPONENT
69,699,2026-09-02T14-48-42-511_86205091.json,264,0,6621,DEAD,0.0,168760.0,OPPONENT
70,709,2026-09-02T14-52-35-493_b542335f.json,264,0,4801,DEAD,0.0,168876.0,OPPONENT
71,719,2026-09-02T14-56-33-686_a67ee609.json,264,0,5121,DEAD,0.0,168879.0,OPPONENT
72,729,2026-09-02T15-00-32-132_c5a5fa4e.json,264,0,5351,DEAD,264.0,169371.0,
73,739,2026-09-02T15-03-49-622_e7910b14.json,264,264,5811,ALIVE,0.0,168693.0,OPPONENT
74,749,2026-09-02T15-07-25-237_cd6cd74c.json,52,0,5201,DEAD,0.0,168910.0,OPPONENT
75,759,2026-09-02T15-11-10-417_e718c25f.json,52,0,4291,DEAD,0.0,169220.0,OPPONENT
76,769,2026-09-02T15-15-06-931_53981dd8.json,52,0,7141,DEAD,0.0,168502.0,OPPONENT
77,779,2026-09-02T15-19-07-749_f74af769.json,52,0,6351,DEAD,0.0,170450.0,OPPONENT
78,789,2026-09-02T15-23-05-154_b2a16929.json,52,0,4541,DEAD,52.0,169431.0,
79,799,2026-09-02T15-27-02-807_a3abcbc6.json,52,52,4091,ALIVE,52.0,170338.0,
80,809,2026-09-02T15-30-22-545_c5fe879a.json,52,52,6711,ALIVE,0.0,169509.0,OPPONENT
81,819,2026-09-02T15-34-15-079_1abe9ca2.json,52,0,5071,DEAD,0.0,169395.0,OPPONENT
82,829,2026-09-02T15-38-13-030_bb529f35.json,52,0,6001,DEAD,0.0,169077.0,OPPONENT
83,839,2026-09-02T15-42-16-055_03d863cb.json,264,0,6901,DEAD,0.0,168979.0,OPPONENT
84,849,2026-09-02T15-46-13-521_2776a680.json,264,0,6471,DEAD,1576.0,169064.0,
