tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,59
15,66
16,73
17,80
18,88
19,95
20,102
21,110
22,118
23,126
24,142
25,158
26,176
27,192
28,208
29,226
30,242
31,258
32,274
33,290
34,320
35,347
36,374
37,399
38,423
39,445
40,468
41,488
42,508
43,525
44,556
45,585
46,612
47,638
48,662
49,684
50,705
51,724
52,741
53,757
54,788
55,817
56,843
57,867
58,889
59,909
60,927
61,944
62,959
63,972
64,1002
65,1028
66,1051
67,1072
68,1092
69,1109
70,1125
71,1140
72,1153
73,1164
74,1193
75,1218
76,1240
77,1260
78,1277
79,1292
80,1306
81,1318
82,1329
83,1339
84,1365
85,1389
86,1409
87,1427
88,1443
89,1457
90,1470
91,1481
92,1491
93,1500
94,1525
95,1548
96,1567
97,1584
98,1599
99,1612
100,1624
101,1634
102,1643
103,1651
104,1674
105,1696
106,1714
107,1730
108,1745
109,1758
110,1769
111,1779
112,1788
113,1796
114,1819
115,1839
116,1857
117,1872
118,1885
119,1897
120,1908
121,1918
122,1926
123,1933
124,1955
125,1976
126,1993
127,2008
128,2021
129,2033
130,2043
131,2052
132,2060
133,2067
134,2088
135,2107
136,2124
137,2138
138,2150
139,2161
140,2171
141,2180
142,2187
143,2194
144,2215
145,2234
146,2250
147,2264
148,2276
149,2287
150,2296
151,2304
152,2311
153,2317
154,2337
155,2355
156,2370
157,2384
158,2396
159,2406
160,2415
161,2423
162,2430
163,2436
164,2456
165,2474
166,2489
167,2502
168,2513
169,2523
170,2532
171,2540
172,2547
173,2553
174,2572
175,2589
176,2604
177,2617
178,2628
179,2637
180,2645
181,2652
182,2659
183,2665
184,2684
185,2701
186,2715
187,2728
188,2739
189,2749
190,2757
191,2764
192,2770
193,2775
194,2794
195,2810
196,2824
197,2837
198,2847
199,2856
200,2864
201,2871
202,2877
203,2882
204,2901
205,2917
206,2931
207,2943
208,2953
209,2962
210,2970
211,2977
212,2983
213,2988
214,3006
215,3022
216,3036
217,3048
218,3058
219,3066
220,3073
221,3080
222,3086
223,3091
224,3109
225,3124
226,3138
227,3150
228,3160
229,3169
230,3176
231,3182
232,3187
233,3192
234,3196
235,3200
236,3204
237,3208
238,3212
239,3216
240,3217
241,3217
242,3217
243,3217
244,3234
245,3249
246,3262
247,3273
248,3282
249,3290
250,3297
251,3303
252,3308
253,3312
254,3332
255,3349
256,3364
257,3377
258,3388
259,3398
260,3406
261,3413
262,3419
263,3424
264,3428
265,3432
266,3436
267,3440
268,3444
269,3448
270,3452
271,3452
272,3452
273,3452
274,3472
275,3489
276,3504
277,3517
278,3528
279,3537
280,3545
281,3552
282,3558
283,3563
284,3567
285,3571
286,3575
287,3579
288,3583
289,3587
290,3588
291,3588
292,3588
293,3588
294,3611
295,3631
296,3649
297,3664
298,3676
299,3686
300,3695
301,3703
302,3710
303,3716
304,3742
305,3765
306,3785
307,3802
308,3816
309,3828
310,3838
311,3847
312,3854
313,3860
314,3865
315,3870
316,3874
317,3878
318,3882
319,3886
320,3890
321,3893
322,3893
323,3893
324,3893
325,3893
326,3893
327,3893
328,3893
329,3893
330,3893
