tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,60
25,68
26,76
27,85
28,93
29,102
30,111
31,119
32,127
33,136
34,154
35,173
36,192
37,210
38,229
39,249
40,267
41,286
42,304
43,320
44,349
45,378
46,408
47,436
48,463
49,488
50,513
51,537
52,559
53,579
54,616
55,649
56,681
57,709
58,736
59,761
60,785
61,806
62,826
63,844
64,881
65,913
66,943
67,970
68,994
69,1017
70,1038
71,1056
72,1072
73,1087
74,1121
75,1152
76,1180
77,1203
78,1223
79,1241
80,1257
81,1272
82,1286
83,1298
84,1328
85,1355
86,1378
87,1399
88,1417
89,1433
90,1447
91,1460
92,1472
93,1483
94,1510
95,1535
96,1556
97,1575
98,1592
99,1607
100,1621
101,1633
102,1644
103,1654
104,1680
105,1704
106,1725
107,1743
108,1759
109,1774
110,1787
111,1799
112,1809
113,1818
114,1843
115,1866
116,1886
117,1904
118,1920
119,1934
120,1946
121,1956
122,1965
123,1973
124,1997
125,2018
126,2037
127,2054
128,2069
129,2082
130,2093
131,2103
132,2111
133,2119
134,2142
135,2164
136,2182
137,2197
138,2211
139,2223
140,2234
141,2243
142,2252
143,2260
144,2283
145,2303
146,2321
147,2336
148,2349
149,2361
150,2371
151,2380
152,2388
153,2395
154,2417
155,2437
156,2454
157,2469
158,2482
159,2493
160,2503
161,2512
162,2519
163,2525
164,2547
165,2565
166,2581
167,2595
168,2607
169,2618
170,2628
171,2636
172,2643
173,2649
174,2671
175,2689
176,2705
177,2719
178,2731
179,2742
180,2751
181,2759
182,2766
183,2772
184,2793
185,2811
186,2827
187,2840
188,2852
189,2862
190,2871
191,2878
192,2885
193,2891
194,2911
195,2928
196,2943
197,2956
198,2967
199,2977
200,2986
201,2993
202,3000
203,3005
204,3025
205,3042
206,3057
207,3070
208,3081
209,3090
210,3098
211,3105
212,3111
213,3116
214,3135
215,3152
216,3167
217,3180
218,3191
219,3200
220,3208
221,3215
222,3221
223,3226
224,3245
225,3262
226,3277
227,3289
228,3299
229,3308
230,3316
231,3322
232,3328
233,3333
234,3351
235,3367
236,3381
237,3393
238,3404
239,3413
240,3420
241,3426
242,3431
243,3436
244,3454
245,3470
246,3484
247,3496
248,3506
249,3514
250,3521
251,3528
252,3533
253,3538
254,3556
255,3572
256,3586
257,3597
258,3607
259,3616
260,3623
261,3629
262,3634
263,3639
264,3657
265,3673
266,3687
267,3698
268,3708
269,3717
270,3724
271,3730
272,3735
273,3739
274,3757
275,3772
276,3785
277,3796
278,3806
279,3814
280,3821
281,3827
282,3832
283,3836
284,3854
285,3870
286,3883
287,3894
288,3903
289,3911
290,3918
291,3924
292,3929
293,3933
294,3950
295,3965
296,3978
297,3989
298,3998
299,4006
300,4012
301,4018
302,4023
303,4027
304,4044
305,4059
306,4072
307,4083
308,4092
309,4100
310,4106
311,4111
312,4116
313,4120
314,4138
315,4153
316,4166
317,4176
318,4185
319,4193
320,4199
321,4204
322,4209
323,4213
324,4217
325,4221
326,4225
327,4229
328,4230
329,4230
330,4230
331,4230
