tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
74,52
75,52
76,52
77,52
78,52
79,52
80,52
81,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
92,52
93,52
94,52
95,52
96,52
97,52
98,52
99,52
100,52
101,52
102,52
103,52
104,52
105,52
106,52
107,52
108,52
109,52
110,52
111,52
112,52
113,52
114,64
115,76
116,91
117,107
118,126
119,144
120,164
121,187
122,210
123,232
124,258
125,286
126,315
127,344
128,375
129,408
130,444
131,479
132,514
133,552
134,590
135,628
136,667
137,707
138,750
139,796
140,843
141,891
142,940
143,991
144,1044
145,1095
146,1147
147,1200
148,1254
149,1310
150,1369
151,1427
152,1483
153,1535
154,1590
155,1642
156,1695
157,1747
158,1804
159,1861
160,1914
161,1964
162,2008
163,2045
164,2104
165,2161
166,2216
167,2264
168,2309
169,2351
170,2387
171,2418
172,2445
173,2467
174,2527
175,2577
176,2620
177,2658
178,2691
179,2720
180,2744
181,2765
182,2783
183,2799
184,2853
185,2898
186,2935
187,2968
188,2996
189,3020
190,3041
191,3059
192,3074
193,3087
194,3135
195,3175
196,3210
197,3240
198,3266
199,3288
200,3308
201,3324
202,3337
203,3348
204,3394
205,3431
206,3462
207,3490
208,3513
209,3534
210,3551
211,3565
212,3577
213,3587
214,3629
215,3665
216,3695
217,3721
218,3743
219,3761
220,3776
221,3790
222,3801
223,3811
224,3819
225,3826
226,3832
227,3837
228,3841
229,3845
230,3849
231,3853
232,3857
233,3860
234,3897
235,3929
236,3956
237,3978
238,3997
239,4014
240,4028
241,4040
242,4050
243,4058
244,4100
245,4136
246,4165
247,4190
248,4211
249,4229
250,4244
251,4256
252,4267
253,4276
254,4284
255,4290
256,4295
257,4299
258,4303
259,4307
260,4311
261,4315
262,4319
263,4320
264,4320
265,4320
266,4320
267,4320
268,4320
269,4320
270,4320
271,4320
272,4320
273,4320
274,4320
275,4320
276,4320
277,4320
278,4320
279,4320
280,4320
281,4320
282,4320
283,4320
284,4320
285,4320
286,4320
287,4320
288,4320
289,4320
290,4320
291,4320
292,4320
293,4320
294,4320
295,4320
296,4320
297,4320
298,4320
299,4320
300,4320
301,4320
302,4320
303,4320
304,4320
305,4320
306,4320
307,4320
308,4320
309,4320
310,4320
311,4320
312,4320
313,4320
314,4393
315,4455
316,4510
317,4556
318,4594
319,4627
320,4655
321,4678
322,4697
323,4713
324,4726
325,4737
326,4746
327,4753
328,4759
329,4764
330,4768
331,4772
332,4776
333,4780
334,4858
335,4925
336,4982
337,5032
338,5073
339,5107
340,5136
341,5159
342,5178
343,5194
344,5206
345,5216
346,5224
