tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
74,52
75,52
76,52
77,52
78,52
79,52
80,52
81,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
92,52
93,52
94,52
95,52
96,52
97,52
98,52
99,52
100,52
101,52
102,52
103,52
104,52
105,52
106,52
107,52
108,52
109,52
110,52
111,52
112,52
113,52
114,52
115,52
116,52
117,52
118,52
119,52
120,52
121,52
122,52
123,52
124,52
125,52
126,52
127,52
128,52
129,52
130,52
131,52
132,52
133,52
134,52
135,52
136,52
137,52
138,52
139,52
140,52
141,52
142,52
143,52
144,52
145,52
146,52
147,52
148,52
149,52
150,52
151,52
152,52
153,52
154,52
155,52
156,52
157,52
158,52
159,52
160,52
161,52
162,52
163,52
164,52
165,52
166,52
167,52
168,52
169,52
170,52
171,52
172,52
173,52
174,52
175,52
176,52
177,52
178,52
179,52
180,52
181,52
182,52
183,52
184,52
185,52
186,52
187,52
188,52
189,52
190,52
191,52
192,52
193,52
194,52
195,52
196,52
197,52
198,52
199,52
200,52
201,52
202,52
203,52
204,52
205,52
206,52
207,52
208,52
209,52
210,52
211,52
212,52
213,52
214,52
215,52
216,52
217,52
218,52
219,52
220,52
221,52
222,52
223,52
224,64
225,76
226,91
227,107
228,126
229,144
230,164
231,187
232,210
233,233
234,259
235,286
236,315
237,346
238,378
239,410
240,444
241,481
242,518
243,555
244,597
245,638
246,680
247,722
248,768
249,815
250,863
251,915
252,968
253,1021
254,1073
255,1121
256,1169
257,1220
258,1271
259,1320
260,1374
261,1429
262,1484
263,1537
264,1594
265,1648
266,1701
267,1757
268,1809
269,1864
270,1921
271,1980
272,2039
273,2097
274,2161
275,2221
276,2281
277,2341
278,2405
279,2470
280,2533
281,2598
282,2663
283,2730
284,2797
285,2863
286,2930
287,2997
288,3066
289,3135
290,3205
291,3277
292,3351
293,3425
294,3497
295,3566
296,3640
297,3713
298,3789
299,3864
300,3942
301,4012
302,4072
303,4123
304,4205
305,4281
306,4348
307,4405
308,4454
309,4494
310,4528
311,4556
312,4578
313,4597
314,4664
315,4716
316,4762
317,4798
318,4828
319,4854
320,4876
321,4894
322,4910
323,4922
324,4980
325,5025
326,5063
327,5094
328,5121
329,5143
330,5162
331,5178
332,5191
333,5201
334,5254
335,5296
336,5332
337,5362
338,5386
339,5406
340,5423
341,5436
342,5448
343,5458
344,5505
345,5543
346,5574
347,5601
348,5623
349,5642
350,5657
351,5670
352,5681
353,5690
354,5733
355,5770
356,5799
357,5825
358,5846
359,5864
360,5879
361,5892
362,5903
363,5912
364,5954
365,5989
366,6017
367,6041
368,6061
