tick,tiles
1,0
2,52
3,52
4,58
5,64
6,70
7,76
8,82
9,88
10,94
11,100
12,107
13,113
14,119
15,125
16,131
17,137
18,142
19,147
20,153
21,159
22,164
23,169
24,174
25,179
26,184
27,189
28,193
29,197
30,201
31,205
32,208
33,211
34,214
35,217
36,220
37,223
38,226
39,229
40,231
41,233
42,235
43,237
44,239
45,241
46,243
47,245
48,247
49,249
50,251
51,253
52,255
53,257
54,259
55,261
56,263
57,264
58,264
59,264
60,264
61,264
62,264
63,264
64,264
65,264
66,264
67,264
68,264
69,264
70,264
71,264
72,264
73,264
74,264
75,264
76,264
77,264
78,264
79,264
80,264
81,264
82,264
83,264
84,264
85,264
86,264
87,264
88,264
89,264
90,264
91,264
92,264
93,264
94,264
95,264
96,264
97,264
98,264
99,264
100,264
101,264
102,264
103,264
104,264
105,264
106,264
107,264
108,264
109,264
110,264
111,264
112,264
113,264
114,264
115,264
116,264
117,264
118,264
119,264
120,264
121,264
122,264
123,264
124,264
125,264
126,264
127,264
128,264
129,264
130,264
131,264
132,264
133,264
134,264
135,264
136,264
137,264
138,264
139,264
140,264
141,264
142,264
143,264
144,264
145,264
146,264
147,264
148,264
149,264
150,264
151,264
152,264
153,264
154,264
155,264
156,264
157,264
158,264
159,264
160,264
161,264
162,264
163,264
164,264
165,264
166,264
167,264
168,264
169,264
170,264
171,264
172,264
173,264
174,264
175,264
176,264
177,264
178,264
179,264
180,264
181,264
182,264
183,264
184,264
185,264
186,264
187,264
188,264
189,264
190,264
191,264
192,264
193,264
194,264
195,264
196,264
197,264
198,264
199,264
200,264
201,264
202,264
203,264
204,264
205,264
206,264
207,264
208,264
209,264
210,264
211,264
212,264
213,264
214,264
215,264
216,264
217,264
218,264
219,264
220,264
221,264
222,264
223,264
224,264
225,264
226,264
227,264
228,264
229,264
230,264
231,264
232,264
233,264
234,264
235,264
236,264
237,264
238,264
239,264
240,264
241,264
242,264
243,264
244,264
245,264
246,264
247,264
248,264
249,264
250,264
251,264
252,264
253,264
254,264
255,264
256,264
257,264
258,264
259,264
260,264
261,264
262,264
263,264
264,264
265,264
266,264
267,264
268,264
269,264
270,264
271,264
272,264
273,264
274,264
275,264
276,264
277,264
278,264
279,264
280,264
281,264
282,264
283,264
284,264
285,264
286,264
287,264
288,264
289,264
290,264
291,264
292,264
293,264
294,264
295,264
296,264
297,264
298,264
299,264
300,264
301,264
302,264
303,264
304,264
305,264
306,264
307,264
308,264
309,264
310,264
311,264
312,264
313,264
314,264
315,264
316,264
317,264
318,264
319,264
320,264
321,264
322,264
323,264
324,264
325,264
326,264
327,264
328,264
329,264
330,264
331,264
332,264
333,264
334,264
335,264
336,264
337,264
338,264
339,264
340,264
341,264
342,264
343,264
344,264
345,264
346,264
347,264
348,264
349,264
350,264
351,264
352,264
353,264
354,264
355,264
356,264
357,264
358,264
359,264
360,264
361,264
362,264
363,264
364,264
365,264
366,264
367,264
368,264
369,264
370,264
371,264
372,264
373,264
374,264
375,264
376,264
377,264
378,264
379,264
380,264
381,264
382,264
383,264
384,264
385,264
386,264
387,264
388,264
389,264
390,264
391,264
392,264
393,264
394,264
395,264
396,264
397,264
