tick,tiles
1,0
2,52
3,52
4,58
5,64
6,70
7,76
8,82
9,88
10,94
11,100
12,107
13,113
14,127
15,140
16,153
17,166
18,180
19,194
20,208
21,221
22,234
23,246
24,268
25,288
26,308
27,329
28,349
29,369
30,387
31,406
32,424
33,441
34,457
35,471
36,484
37,496
38,508
39,519
40,529
41,539
42,547
43,555
44,563
45,570
46,576
47,582
48,587
49,592
50,596
51,600
52,604
53,607
54,610
55,613
56,616
57,618
58,620
59,622
60,624
61,626
62,628
63,630
64,632
65,634
66,636
67,638
68,640
69,640
70,640
71,640
72,640
73,640
74,640
75,640
76,640
77,640
78,640
79,640
80,640
81,640
82,640
83,640
84,640
85,640
86,640
87,640
88,640
89,640
90,640
91,640
92,640
93,640
94,640
95,640
96,640
97,640
98,640
99,640
100,640
101,640
102,640
103,640
104,640
105,640
106,640
107,640
108,640
109,640
110,640
111,640
112,640
113,640
114,640
115,640
116,640
117,640
118,640
119,640
120,640
121,640
122,640
123,640
124,640
125,640
126,640
127,640
128,640
129,640
130,640
131,640
132,640
133,640
134,640
135,640
136,640
137,640
138,640
139,640
140,640
141,640
142,640
143,640
144,640
145,640
146,640
147,640
148,640
149,640
150,640
151,640
152,640
153,640
154,640
155,640
156,640
157,640
158,640
159,640
160,640
161,640
162,640
163,640
164,640
165,640
166,640
167,640
168,640
169,640
170,640
171,640
172,640
173,640
174,640
175,640
176,640
177,640
178,640
179,640
180,640
181,640
182,640
183,640
184,640
185,640
186,640
187,640
188,640
189,640
190,640
191,640
192,640
193,640
194,640
195,640
196,640
197,640
198,640
199,640
200,640
201,640
202,640
203,640
204,640
205,640
206,640
207,640
208,640
209,640
210,640
211,640
212,640
213,640
214,640
215,640
216,640
217,640
218,640
219,640
220,640
221,640
222,640
223,640
224,640
225,640
226,640
227,640
228,640
229,640
230,640
231,640
232,640
233,640
234,640
235,640
236,640
237,640
238,640
239,640
240,640
241,640
242,640
243,640
244,640
245,640
246,640
247,640
248,640
249,640
250,640
251,640
252,640
253,640
254,640
255,640
256,640
257,640
258,640
259,640
260,640
261,640
262,640
263,640
264,640
265,640
266,640
267,640
268,640
269,640
270,640
271,640
272,640
273,640
274,640
275,640
276,640
277,640
278,640
279,640
280,640
281,640
282,640
283,640
284,640
285,640
286,640
287,640
288,640
289,640
290,640
291,640
292,640
293,640
294,640
295,640
296,640
297,640
298,640
299,640
300,640
301,640
302,640
303,640
304,640
305,640
306,640
307,640
308,640
309,640
310,640
311,640
312,640
313,640
314,640
315,640
316,640
317,640
318,640
319,640
320,640
321,640
322,640
323,640
324,640
325,640
326,640
327,640
328,640
329,640
330,640
331,640
332,640
333,640
334,640
335,640
336,640
337,640
338,640
339,640
340,640
341,640
342,640
343,640
344,640
345,640
346,640
347,640
348,640
349,640
350,640
351,640
352,640
353,640
354,640
355,640
356,640
357,640
358,640
359,640
360,640
361,640
362,640
363,640
364,640
365,640
366,640
367,640
368,640
369,640
370,640
371,640
372,640
373,640
374,640
375,640
376,640
377,640
378,640
379,640
380,640
381,640
382,640
383,640
384,640
385,640
386,640
387,640
388,640
389,640
390,640
391,640
392,640
393,640
394,640
395,640
396,640
397,640
