tick,tiles
1,0
2,52
3,52
4,58
5,64
6,70
7,76
8,82
9,88
10,94
11,100
12,107
13,113
14,127
15,140
16,153
17,166
18,180
19,194
20,208
21,221
22,234
23,246
24,258
25,270
26,282
27,293
28,304
29,314
30,324
31,333
32,342
33,350
34,358
35,365
36,372
37,378
38,384
39,389
40,394
41,399
42,404
43,408
44,412
45,416
46,419
47,422
48,425
49,428
50,431
51,433
52,435
53,437
54,439
55,441
56,443
57,445
58,447
59,449
60,451
61,453
62,455
63,457
64,458
65,458
66,458
67,458
68,458
69,458
70,458
71,458
72,458
73,458
74,458
75,458
76,458
77,458
78,458
79,458
80,458
81,458
82,458
83,458
84,458
85,458
86,458
87,458
88,458
89,458
90,458
91,458
92,458
93,458
94,458
95,458
96,458
97,458
98,458
99,458
100,458
101,458
102,458
103,458
104,458
105,458
106,458
107,458
108,458
109,458
110,458
111,458
112,458
113,458
114,458
115,458
116,458
117,458
118,458
119,458
120,458
121,458
122,458
123,458
124,458
125,458
126,458
127,458
128,458
129,458
130,458
131,458
132,458
133,458
134,458
135,458
136,458
137,458
138,458
139,458
140,458
141,458
142,458
143,458
144,458
145,458
146,458
147,458
148,458
149,458
150,458
151,458
152,458
153,458
154,458
155,458
156,458
157,458
158,458
159,458
160,458
161,458
162,458
163,458
164,458
165,458
166,458
167,458
168,458
169,458
170,458
171,458
172,458
173,458
174,458
175,458
176,458
177,458
178,458
179,458
180,458
181,458
182,458
183,458
184,458
185,458
186,458
187,458
188,458
189,458
190,458
191,458
192,458
193,458
194,458
195,458
196,458
197,458
198,458
199,458
200,458
201,458
202,458
203,458
204,458
205,458
206,458
207,458
208,458
209,458
210,458
211,458
212,458
213,458
214,458
215,458
216,458
217,458
218,458
219,458
220,458
221,458
222,458
223,458
224,458
225,458
226,458
227,458
228,458
229,458
230,458
231,458
232,458
233,458
234,458
235,458
236,458
237,458
238,458
239,458
240,458
241,458
242,458
243,458
244,458
245,458
246,458
247,458
248,458
249,458
250,458
251,458
252,458
253,458
254,458
255,458
256,458
257,458
258,458
259,458
260,458
261,458
262,458
263,458
264,458
265,458
266,458
267,458
268,458
269,458
270,458
271,458
272,458
273,458
274,458
275,458
276,458
277,458
278,458
279,458
280,458
281,458
282,458
283,458
284,458
285,458
286,458
287,458
288,458
289,458
290,458
291,458
292,458
293,458
294,458
295,458
296,458
297,458
298,458
299,458
300,458
301,458
302,458
303,458
304,458
305,458
306,458
307,458
308,458
309,458
310,458
311,458
312,458
313,458
314,458
315,458
316,458
317,458
318,458
319,458
320,458
321,458
322,458
323,458
324,458
325,458
326,458
327,458
328,458
329,458
330,458
331,458
332,458
333,458
334,458
335,458
336,458
337,458
338,458
339,458
340,458
341,458
342,458
343,458
344,458
345,458
346,458
347,458
348,458
349,458
350,458
351,458
352,458
353,458
354,458
355,458
356,458
357,458
358,458
359,458
360,458
361,458
362,458
363,458
364,458
365,458
366,458
367,458
368,458
369,458
370,458
371,458
372,458
373,458
374,458
375,458
376,458
377,458
378,458
379,458
380,458
381,458
382,458
383,458
384,458
385,458
386,458
387,458
388,458
389,458
390,458
391,458
392,458
393,458
394,458
395,458
396,458
397,458
