tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,60
35,69
36,78
37,88
38,97
39,107
40,117
41,127
42,137
43,147
44,166
45,186
46,207
47,229
48,252
49,275
50,297
51,319
52,341
53,361
54,393
55,425
56,457
57,490
58,521
59,551
60,580
61,607
62,633
63,656
64,697
65,735
66,770
67,802
68,832
69,860
70,885
71,908
72,928
73,946
74,986
75,1021
76,1053
77,1081
78,1107
79,1130
80,1152
81,1170
82,1187
83,1202
84,1238
85,1270
86,1297
87,1323
88,1345
89,1365
90,1384
91,1400
92,1414
93,1426
94,1459
95,1488
96,1513
97,1535
98,1555
99,1572
100,1588
101,1602
102,1614
103,1625
104,1656
105,1684
106,1708
107,1730
108,1749
109,1766
110,1780
111,1792
112,1803
113,1813
114,1821
115,1828
116,1835
117,1841
118,1846
119,1851
120,1855
121,1858
122,1861
123,1864
124,1867
125,1870
126,1873
127,1876
128,1879
129,1879
130,1879
131,1879
132,1879
133,1879
134,1879
135,1879
136,1879
137,1879
138,1879
139,1879
140,1879
141,1879
142,1879
143,1879
144,1911
145,1941
146,1966
147,1988
148,2009
149,2025
150,2040
151,2053
152,2065
153,2075
154,2084
155,2092
156,2099
157,2105
158,2110
159,2115
160,2119
161,2122
162,2125
163,2128
164,2131
165,2134
166,2137
167,2140
168,2142
169,2142
170,2142
171,2142
172,2142
173,2142
174,2183
175,2218
176,2248
177,2276
178,2300
179,2321
180,2339
181,2356
182,2371
183,2383
184,2394
185,2404
186,2412
187,2419
188,2425
189,2431
190,2436
191,2440
192,2443
193,2446
194,2449
195,2452
196,2455
197,2458
198,2461
199,2463
200,2463
201,2463
202,2463
203,2463
204,2512
205,2556
206,2594
207,2627
208,2657
209,2683
210,2705
211,2725
212,2742
213,2757
214,2769
215,2780
216,2789
217,2797
218,2804
219,2810
220,2815
221,2819
222,2823
223,2827
224,2831
225,2835
226,2839
227,2842
228,2842
229,2842
230,2842
231,2842
232,2842
233,2842
234,2842
235,2842
236,2842
237,2842
238,2842
239,2842
240,2842
241,2842
242,2842
243,2842
244,2842
245,2842
246,2842
247,2842
248,2842
249,2842
250,2842
251,2842
252,2842
253,2842
254,2842
255,2842
256,2842
257,2842
258,2842
259,2842
260,2842
261,2842
262,2842
263,2842
264,2904
265,2964
266,3024
267,3083
268,3135
269,3182
270,3222
271,3257
272,3286
273,3310
274,3331
275,3350
276,3365
277,3377
278,3388
279,3397
280,3404
281,3410
282,3415
283,3420
284,3424
285,3428
286,3432
287,3436
288,3440
289,3442
290,3442
291,3442
292,3442
293,3442
294,3442
295,3442
296,3442
297,3442
298,3442
299,3442
300,3442
301,3442
302,3442
303,3442
304,3442
305,3442
306,3442
307,3442
308,3442
309,3442
310,3442
311,3442
312,3442
313,3442
314,3442
315,3442
316,3442
317,3442
318,3442
319,3442
320,3442
321,3442
322,3442
323,3442
324,3442
325,3442
326,3442
327,3442
328,3442
329,3442
330,3442
331,3442
332,3442
333,3442
