eval_index,approx_update,gamma,difficulty,peak_territory_frac,self_tiles,opp_tiles,ticks,winner
0,10,0.999,easy,0.051187343716802586,33299.0,827516.0,9151,OPPONENT
1,20,0.999,easy,0.06136591700607993,89659.0,724749.0,18021,OPPONENT
2,30,0.999,easy,0.03247805099296984,38013.0,932942.0,16011,OPPONENT
3,40,0.999,easy,0.019267688226465147,34332.0,733010.0,12031,OPPONENT
4,50,0.999,easy,3.2686681811495905e-05,52.0,820011.0,10321,OPPONENT
5,60,0.999,easy,0.0032478913353050716,0.0,306362.0,5681,OPPONENT
6,70,0.999,easy,0.04114920214454837,17300.0,337628.0,5221,OPPONENT
7,80,0.999,easy,3.5417035594120773e-05,0.0,724854.0,14541,OPPONENT
8,90,0.999,easy,3.628677437790861e-05,16.0,339839.0,4831,OPPONENT
9,100,0.999,easy,0.0002568956947632371,0.0,790577.0,9631,OPPONENT
10,110,0.999,easy,0.0002469663508346988,0.0,168747.0,5341,OPPONENT
11,120,0.999,easy,0.02127452844137465,38881.0,1460294.0,11491,OPPONENT
12,130,0.999,easy,5.151651748341812e-05,0.0,466748.0,59031,OPPONENT
13,140,0.999,easy,0.001253829165776163,0.0,169283.0,5291,OPPONENT
14,150,0.999,easy,0.02051739106341319,31531.0,1220171.0,41561,OPPONENT
15,160,0.999,easy,0.4624931877713904,276412.0,317506.0,102011,OPPONENT
16,170,0.999,easy,0.08413007120248854,0.0,819933.0,14081,OPPONENT
17,180,0.999,easy,0.10316172084183071,61003.0,470776.0,12721,OPPONENT
18,190,0.999,easy,2.7023618642693715e-05,52.0,899641.0,9241,OPPONENT
19,200,0.999,easy,0.0015461796753686277,1623.0,833182.0,7851,OPPONENT
20,210,0.999,easy,0.0006242976651267324,0.0,470708.0,11071,OPPONENT
21,220,0.999,easy,0.0002505978938881353,369.0,820182.0,13621,OPPONENT
22,230,0.999,easy,0.0002469663508346988,0.0,170548.0,10311,OPPONENT
23,240,0.999,easy,3.5417035594120773e-05,52.0,725057.0,17931,OPPONENT
24,250,0.999,easy,4.979666362353722e-05,21.0,129801.0,102011,OPPONENT
25,260,0.999,easy,0.028122927260667698,29462.0,836143.0,8941,OPPONENT
26,270,0.999,easy,2.7148514006694048e-05,52.0,733144.0,15181,OPPONENT
27,280,0.999,easy,0.004647688604863474,0.0,259296.0,102011,OPPONENT
28,290,0.999,easy,0.039968923849558136,0.0,470494.0,11141,OPPONENT
29,300,0.999,easy,0.006627639189212946,2236.0,479257.0,16181,OPPONENT
30,310,0.999,easy,0.0784818738458548,90967.0,933143.0,14461,OPPONENT
31,320,0.999,easy,2.7023618642693715e-05,52.0,899861.0,8001,OPPONENT
32,330,0.999,easy,0.008995696104327908,13791.0,1219625.0,36611,OPPONENT
33,340,0.999,easy,0.0071462475607826596,0.0,480951.0,8251,OPPONENT
34,350,0.999,easy,2.9571425553936167e-05,52.0,1461090.0,11321,OPPONENT
35,360,0.999,easy,3.5417035594120773e-05,52.0,725478.0,30311,OPPONENT
36,370,0.999,easy,0.08554168514880764,146630.0,1462901.0,12481,OPPONENT
37,380,0.999,easy,0.00014349928832109712,0.0,733019.0,9961,OPPONENT
38,390,0.999,easy,5.4430161566862915e-05,22.0,336988.0,5311,OPPONENT
39,400,0.999,easy,3.2686681811495905e-05,0.0,822965.0,12131,OPPONENT
40,410,0.999,easy,3.379591491878419e-05,52.0,1461390.0,12681,OPPONENT
41,420,0.999,easy,0.045104604497637195,0.0,168873.0,4981,OPPONENT
42,430,0.999,easy,0.4685370568352394,223805.0,939881.0,18801,OPPONENT
43,440,0.999,easy,0.35656202416820554,214959.0,947289.0,24281,OPPONENT
44,450,0.999,easy,0.04043956627337519,41958.0,833388.0,9791,OPPONENT
45,460,0.999,easy,6.749915626054674e-05,52.0,678594.0,8041,OPPONENT
46,470,0.999,easy,3.5417035594120773e-05,0.0,724865.0,31151,OPPONENT
47,480,0.999,easy,0.00210284319653957,0.0,822742.0,13231,OPPONENT
48,490,0.999,easy,3.2325396678796384e-05,52.0,1220088.0,35961,OPPONENT
49,500,0.999,easy,0.00012700371032268014,0.0,336481.0,6721,OPPONENT
50,510,0.999,easy,0.12572661311580027,34523.0,473319.0,14551,OPPONENT
51,520,0.999,easy,0.000378330660997712,661.0,898458.0,8901,OPPONENT
52,530,0.999,easy,0.021763020880249336,37233.0,898826.0,9261,OPPONENT
53,540,0.999,easy,2.9571425553936167e-05,52.0,1459868.0,13021,OPPONENT
54,550,0.999,easy,0.0007685694929149279,689.0,967354.0,19091,OPPONENT
55,560,0.999,easy,0.0012420939088368444,0.0,823051.0,17041,OPPONENT
56,570,0.999,easy,5.624929688378895e-05,52.0,678551.0,7151,OPPONENT
57,580,0.999,easy,0.1794015074811565,151997.0,677955.0,8971,OPPONENT
58,590,0.999,easy,0.12207455160056893,155827.0,1225945.0,39341,OPPONENT
59,600,0.999,easy,0.11022934044354767,188683.0,897874.0,10461,OPPONENT
60,610,0.999,easy,0.11154904692331215,3134.0,625437.0,8141,OPPONENT
61,620,0.999,easy,0.13620663102545486,201300.0,806707.0,12311,OPPONENT
62,630,0.999,easy,0.00014785712776968084,265.0,1460606.0,12071,OPPONENT
63,640,0.999,easy,0.004007947577867476,0.0,966135.0,26601,OPPONENT
64,650,0.999,easy,0.011488690642239442,0.0,966456.0,20651,OPPONENT
65,660,0.999,easy,0.025814004895900706,0.0,785916.0,36541,OPPONENT
66,670,0.999,easy,0.3396489449337811,618233.0,1205812.0,102011,OPPONENT
67,680,0.999,easy,0.023953760146552542,25019.0,837158.0,7491,OPPONENT
68,690,0.999,easy,0.0717753879837723,0.0,466758.0,44121,OPPONENT
69,700,0.999,easy,0.030687698561340713,17790.0,470025.0,11241,OPPONENT
70,710,0.999,easy,0.2502116358204,129495.0,129035.0,102011,AGENT
71,720,0.98,easy,0.00024480361626179185,0.0,895524.0,25002,
72,730,0.98,easy,0.05610303489295676,85952.0,809415.0,25002,
73,740,0.98,easy,0.05946434439697667,13958.0,306238.0,7021,OPPONENT
74,750,0.98,easy,0.46613683802205513,709732.0,0.0,25002,
75,760,0.98,easy,0.467328422191701,274699.0,150187.0,25002,
76,770,0.98,easy,0.0032781114557894966,0.0,806694.0,12191,OPPONENT
77,780,0.98,easy,0.0002715306062215926,0.0,724623.0,20671,OPPONENT
78,790,0.98,easy,0.0926380612366783,96291.0,833080.0,10341,OPPONENT
79,800,0.98,easy,0.06402615895786087,35908.0,477639.0,7711,OPPONENT
80,810,0.98,easy,0.0845455232664874,98468.0,932818.0,16491,OPPONENT
81,820,0.98,easy,0.23832246242050928,71365.0,339312.0,6131,OPPONENT
