eval_index,update,segment,gamma,max_episode_steps,difficulty,peak_territory_frac,self_tiles,opp_tiles,ticks,winner
0,9,0,0.995,2500,easy,3.813446211341189e-05,52.0,821342.0,8231,OPPONENT
1,19,0,0.995,2500,easy,0.0002479192491588454,369.0,724749.0,18021,OPPONENT
2,29,0,0.995,2500,easy,0.0031371151499443852,3644.0,932897.0,14471,OPPONENT
3,39,0,0.995,2500,easy,0.0001745261614716046,320.0,733010.0,12031,OPPONENT
4,49,0,0.995,2500,easy,0.023708739873938362,37412.0,819657.0,10451,OPPONENT
5,59,0,0.995,2500,easy,0.00012049512542447146,52.0,306576.0,5691,OPPONENT
6,69,0,0.995,2500,easy,3.628677437790861e-05,16.0,337466.0,5091,OPPONENT
7,79,0,0.995,2500,easy,3.5417035594120773e-05,0.0,724854.0,14541,OPPONENT
8,89,0,0.995,2500,easy,3.628677437790861e-05,16.0,339839.0,4831,OPPONENT
9,99,0,0.995,2500,easy,3.350813409955267e-05,0.0,788285.0,11631,OPPONENT
10,109,0,0.995,2500,easy,0.0002469663508346988,0.0,168747.0,5341,OPPONENT
11,119,0,0.995,2500,easy,2.9571425553936167e-05,52.0,1461362.0,11561,OPPONENT
12,129,0,0.995,2500,easy,0.008410071479168009,0.0,381148.0,25002,
13,139,0,0.995,2500,easy,0.0002469663508346988,0.0,170617.0,5111,OPPONENT
14,149,0,0.995,2500,easy,0.07392818220440733,112573.0,691985.0,25002,
15,159,0,0.995,2500,easy,8.789972399486666e-05,52.0,317506.0,25002,
16,169,0,0.995,2500,easy,3.2686681811495905e-05,0.0,821770.0,10041,OPPONENT
17,179,0,0.995,2500,easy,0.0006104243836794717,369.0,470776.0,12721,OPPONENT
18,189,0,0.995,2500,easy,2.7023618642693715e-05,52.0,899641.0,9241,OPPONENT
19,199,0,0.995,2500,easy,0.010544547228157723,10948.0,833304.0,7841,OPPONENT
20,209,0,0.995,2500,easy,0.0006242976651267324,0.0,470708.0,11071,OPPONENT
21,219,0,0.995,2500,easy,3.813446211341189e-05,52.0,820731.0,13621,OPPONENT
22,229,0,0.995,2500,easy,0.11883355892759612,0.0,168566.0,7181,OPPONENT
23,239,0,0.995,2500,easy,3.5417035594120773e-05,52.0,725057.0,17931,OPPONENT
24,249,0,0.995,2500,easy,0.0006805544028550087,0.0,258976.0,25002,
25,259,0,0.995,2500,easy,0.03306275859890717,34505.0,838592.0,9011,OPPONENT
26,269,0,0.995,2500,easy,2.7148514006694048e-05,52.0,733144.0,15181,OPPONENT
27,279,0,0.995,2500,easy,0.07416383102332144,0.0,259296.0,25002,
28,289,0,0.995,2500,easy,0.006624491891066994,0.0,470813.0,14291,OPPONENT
29,299,0,0.995,2500,easy,0.027960902202767084,0.0,477582.0,14581,OPPONENT
30,309,0,0.995,2500,easy,0.00025377695705229965,288.0,933775.0,14451,OPPONENT
31,319,0,0.995,2500,easy,2.7023618642693715e-05,52.0,899861.0,8001,OPPONENT
32,329,0,0.995,2500,easy,0.4184060808689067,639277.0,282874.0,25002,
33,339,0,0.995,2500,easy,0.020753124835188017,0.0,480327.0,7591,OPPONENT
34,349,0,0.995,2500,easy,2.9571425553936167e-05,52.0,1461090.0,11321,OPPONENT
35,359,0,0.995,2500,easy,0.01407236880939732,20565.0,592016.0,25003,
36,369,0,0.995,2500,easy,2.9571425553936167e-05,52.0,1461125.0,11781,OPPONENT
37,379,0,0.995,2500,easy,0.007566678689580012,0.0,732740.0,13971,OPPONENT
38,389,0,0.995,2500,easy,0.006250396886594759,2635.0,338808.0,5381,OPPONENT
39,399,0,0.995,2500,easy,3.2686681811495905e-05,0.0,822965.0,12131,OPPONENT
40,409,0,0.995,2500,easy,3.379591491878419e-05,52.0,1461390.0,12681,OPPONENT
41,419,0,0.995,2500,easy,0.0838640735199829,16266.0,168675.0,5911,OPPONENT
42,429,0,0.995,2500,easy,5.399509724517014e-05,52.0,933230.0,13291,OPPONENT
43,439,1,0.995,2500,easy,0.12476107169469013,144924.0,933695.0,15561,OPPONENT
44,449,1,0.995,2500,easy,0.031222211899611132,32332.0,833077.0,9811,OPPONENT
45,459,1,0.995,2500,easy,0.02669029137135786,22573.0,677784.0,8121,OPPONENT
46,469,1,0.995,2500,easy,0.0002656277669559058,0.0,724977.0,22481,OPPONENT
47,479,1,0.995,2500,easy,0.13818839513840087,0.0,689025.0,25003,
48,489,1,0.995,2500,easy,0.00018471655245026506,282.0,849860.0,25002,
