eval_index,update,segment,gamma,max_episode_steps,difficulty,peak_territory_frac,self_tiles,opp_tiles,ticks,winner
0,59,0,0.98,20000,easy,0.019087523277467412,0.0,306645.0,7231,OPPONENT
1,119,0,0.98,20000,easy,0.001254673341359863,0.0,1462740.0,11531,OPPONENT
2,179,0,0.98,20000,easy,0.2405210804511591,0.0,470001.0,13191,OPPONENT
3,239,0,0.98,20000,easy,3.5417035594120773e-05,52.0,725057.0,17931,OPPONENT
4,299,0,0.98,20000,easy,0.003735738269781833,2216.0,477225.0,20861,OPPONENT
5,359,0,0.98,20000,easy,3.5417035594120773e-05,52.0,725478.0,30311,OPPONENT
6,419,0,0.98,20000,easy,0.030842297736933342,6494.0,169449.0,5711,OPPONENT
7,479,0,0.98,20000,easy,0.022820751684726057,0.0,821362.0,12201,OPPONENT
8,539,0,0.98,20000,easy,0.029516507192193144,54194.0,1459601.0,14231,OPPONENT
9,599,0,0.98,20000,easy,8.107085592808115e-05,0.0,898431.0,9311,OPPONENT
10,659,0,0.98,20000,easy,7.36841243460534e-05,78.0,784239.0,96741,OPPONENT
11,719,0,0.98,20000,easy,0.07299702250485338,0.0,966269.0,31911,OPPONENT
12,779,0,0.98,20000,easy,0.06193258957558586,0.0,726138.0,29341,OPPONENT
13,839,0,0.98,20000,easy,0.05260996737540781,44499.0,680953.0,7151,OPPONENT
14,899,0,0.98,20000,easy,0.039125169195697085,0.0,169453.0,4571,OPPONENT
15,959,0,0.98,20000,easy,0.06863640136110881,0.0,258670.0,102011,OPPONENT
16,1019,0,0.98,20000,easy,3.30011220381493e-05,0.0,806802.0,20081,OPPONENT
17,1079,0,0.98,20000,easy,0.0002469663508346988,52.0,168762.0,5361,OPPONENT
18,1139,0,0.98,20000,easy,0.05876399797593118,0.0,806734.0,15351,OPPONENT
19,1199,0,0.98,20000,easy,0.04111018095176766,0.0,466590.0,35571,OPPONENT
20,1259,0,0.98,20000,easy,0.11906627721972882,0.0,169886.0,6941,OPPONENT
21,1319,0,0.98,20000,easy,0.00037660774665760623,354.0,514424.0,102011,OPPONENT
22,1379,0,0.98,20000,easy,0.1371003363800075,36419.0,623236.0,8391,OPPONENT
23,1439,0,0.98,20000,easy,0.07945378559626785,92498.0,932751.0,14301,OPPONENT
24,1499,0,0.98,20000,easy,0.13947473569399899,163021.0,932991.0,16961,OPPONENT
25,1559,0,0.98,20000,easy,0.028897982531406068,0.0,810189.0,10511,OPPONENT
26,1619,0,0.98,20000,easy,0.052658032737447014,0.0,789478.0,9121,OPPONENT
27,1679,0,0.98,20000,easy,3.2325396678796384e-05,0.0,1220377.0,38941,OPPONENT
28,1739,0,0.98,20000,easy,0.0757075275956511,0.0,258836.0,102011,OPPONENT
29,1799,0,0.98,20000,easy,0.0014580012986246385,0.0,725464.0,19821,OPPONENT
30,1859,0,0.98,20000,easy,0.015509830519554808,0.0,820158.0,9021,OPPONENT
31,1919,0,0.98,20000,easy,0.09047200021772064,38073.0,337416.0,4891,OPPONENT
32,1979,0,0.98,20000,easy,0.009816421698837141,0.0,724841.0,22341,OPPONENT
33,2039,0,0.98,20000,easy,0.03089454061884068,6505.0,170205.0,5531,OPPONENT
34,2099,0,0.98,20000,easy,0.02011374828495141,0.0,966390.0,27621,OPPONENT
35,2159,0,0.98,20000,easy,0.03690755917244541,0.0,785696.0,22701,OPPONENT
36,2219,0,0.98,20000,easy,3.102687315050748e-05,0.0,732705.0,12611,OPPONENT
37,2279,0,0.98,20000,easy,0.001558374653873398,0.0,466634.0,40201,OPPONENT
38,2339,0,0.98,20000,easy,8.107085592808115e-05,0.0,898837.0,7961,OPPONENT
39,2399,0,0.98,20000,easy,0.006890334213407174,0.0,467265.0,59131,OPPONENT
