tick,tiles
1,0
2,52
3,52
4,60
5,68
6,76
7,85
8,93
9,102
10,111
11,119
12,127
13,135
14,153
15,172
16,191
17,209
18,227
19,246
20,264
21,283
22,300
23,317
24,348
25,377
26,405
27,431
28,455
29,479
30,503
31,526
32,547
33,566
34,601
35,634
36,664
37,692
38,718
39,742
40,764
41,784
42,802
43,819
44,853
45,884
46,913
47,939
48,962
49,983
50,1003
51,1021
52,1037
53,1051
54,1085
55,1114
56,1140
57,1163
58,1184
59,1202
60,1218
61,1232
62,1245
63,1256
64,1286
65,1313
66,1337
67,1358
68,1377
69,1394
70,1409
71,1422
72,1434
73,1444
74,1473
75,1499
76,1522
77,1542
78,1559
79,1575
80,1589
81,1601
82,1612
83,1621
84,1649
85,1674
86,1696
87,1715
88,1732
89,1747
90,1760
91,1771
92,1781
93,1790
94,1818
95,1842
96,1863
97,1881
98,1897
99,1911
100,1923
101,1933
102,1942
103,1950
104,1977
105,2001
106,2022
107,2040
108,2055
109,2068
110,2079
111,2089
112,2098
113,2105
114,2132
115,2155
116,2175
117,2191
118,2205
119,2217
120,2228
121,2237
122,2245
123,2252
124,2278
125,2301
126,2320
127,2336
128,2350
129,2362
130,2372
131,2381
132,2389
133,2395
134,2421
135,2443
136,2462
137,2478
138,2492
139,2504
140,2514
141,2522
142,2529
143,2535
144,2560
145,2582
146,2600
147,2615
148,2628
149,2639
150,2648
151,2656
152,2663
153,2669
154,2694
155,2716
156,2734
157,2749
158,2762
159,2773
160,2782
161,2790
162,2796
163,2801
164,2826
165,2847
166,2865
167,2880
168,2892
169,2902
170,2911
171,2918
172,2924
173,2929
174,2954
175,2975
176,2992
177,3007
178,3019
179,3029
180,3037
181,3044
182,3050
183,3055
184,3079
185,3099
186,3116
187,3130
188,3142
189,3152
190,3160
191,3167
192,3173
193,3178
194,3202
195,3222
196,3239
197,3253
198,3264
199,3274
200,3282
201,3289
202,3294
203,3298
204,3321
205,3341
206,3358
207,3372
208,3383
209,3392
210,3400
211,3406
212,3411
213,3416
214,3439
215,3459
216,3475
217,3489
218,3500
219,3509
220,3516
221,3522
222,3527
223,3531
224,3554
225,3573
226,3590
227,3604
228,3615
229,3624
230,3631
231,3637
232,3642
233,3646
234,3668
235,3687
236,3703
237,3716
238,3727
239,3736
240,3743
241,3749
242,3754
243,3758
244,3781
245,3800
246,3816
247,3829
248,3840
249,3849
250,3856
251,3862
252,3867
253,3871
254,3893
255,3912
256,3927
257,3940
258,3950
259,3959
260,3966
261,3972
262,3977
263,3981
264,4003
265,4022
266,4037
267,4050
268,4060
269,4068
270,4075
271,4081
272,4086
273,4090
274,4112
275,4130
276,4146
277,4159
278,4169
279,4177
280,4184
281,4189
282,4194
283,4198
284,4220
285,4238
286,4253
287,4265
288,4275
289,4283
290,4290
291,4295
292,4300
293,4305
294,4327
295,4345
296,4360
297,4372
298,4382
299,4390
300,4397
301,4402
302,4407
303,4412
304,4434
305,4452
306,4467
307,4479
308,4489
309,4497
310,4503
311,4508
312,4513
313,4518
314,4540
315,4558
316,4572
317,4584
318,4594
319,4602
320,4608
321,4613
322,4618
323,4623
324,4644
325,4662
326,4676
327,4688
328,4697
