tick,tiles
1,0
2,52
3,52
4,58
5,64
6,70
7,76
8,82
9,88
10,94
11,100
12,107
13,113
14,127
15,140
16,153
17,166
18,180
19,194
20,208
21,221
22,234
23,246
24,268
25,288
26,308
27,329
28,349
29,369
30,387
31,406
32,424
33,441
34,470
35,495
36,520
37,543
38,565
39,586
40,606
41,624
42,642
43,658
44,687
45,712
46,735
47,757
48,777
49,796
50,813
51,829
52,843
53,856
54,883
55,907
56,928
57,948
58,966
59,982
60,997
61,1010
62,1022
63,1033
64,1059
65,1081
66,1101
67,1119
68,1135
69,1150
70,1163
71,1175
72,1186
73,1195
74,1219
75,1241
76,1260
77,1277
78,1292
79,1305
80,1317
81,1328
82,1338
83,1347
84,1370
85,1391
86,1409
87,1425
88,1439
89,1451
90,1462
91,1472
92,1481
93,1489
94,1511
95,1531
96,1548
97,1563
98,1577
99,1589
100,1599
101,1608
102,1616
103,1623
104,1644
105,1663
106,1680
107,1695
108,1708
109,1719
110,1729
111,1737
112,1744
113,1751
114,1772
115,1791
116,1807
117,1821
118,1833
119,1844
120,1853
121,1861
122,1868
123,1874
124,1895
125,1914
126,1930
127,1944
128,1956
129,1966
130,1975
131,1983
132,1989
133,1995
134,2015
135,2033
136,2049
137,2062
138,2073
139,2083
140,2091
141,2098
142,2104
143,2109
144,2129
145,2147
146,2162
147,2175
148,2186
149,2195
150,2203
151,2210
152,2216
153,2221
154,2241
155,2258
156,2273
157,2286
158,2297
159,2306
160,2314
161,2321
162,2327
163,2332
164,2351
165,2368
166,2382
167,2394
168,2404
169,2413
170,2421
171,2427
172,2432
173,2437
174,2456
175,2473
176,2487
177,2499
178,2509
179,2518
180,2525
181,2531
182,2536
183,2540
184,2559
185,2576
186,2590
187,2602
188,2612
189,2620
190,2627
191,2633
192,2638
193,2642
194,2661
195,2677
196,2691
197,2703
198,2713
199,2721
200,2728
201,2734
202,2739
203,2743
204,2762
205,2778
206,2792
207,2803
208,2812
209,2820
210,2827
211,2832
212,2837
213,2841
214,2859
215,2875
216,2889
217,2900
218,2909
219,2917
220,2923
221,2928
222,2933
223,2937
224,2956
225,2972
226,2985
227,2996
228,3005
229,3013
230,3019
231,3024
232,3028
233,3032
234,3051
235,3067
236,3080
237,3091
238,3100
239,3107
240,3113
241,3118
242,3122
243,3126
244,3144
245,3159
246,3172
247,3183
248,3192
249,3199
250,3205
251,3210
252,3214
253,3218
254,3237
255,3252
256,3265
257,3275
258,3284
259,3291
260,3297
261,3302
262,3306
263,3311
264,3329
265,3344
266,3357
267,3367
268,3375
269,3382
270,3388
271,3393
272,3398
273,3403
274,3421
275,3435
276,3447
277,3457
278,3465
279,3472
280,3477
281,3482
282,3487
283,3492
284,3510
285,3525
286,3537
287,3547
288,3555
289,3561
290,3566
291,3571
292,3576
293,3581
294,3599
295,3613
296,3625
297,3635
298,3643
299,3649
300,3654
301,3659
302,3664
303,3669
304,3686
305,3700
306,3712
307,3722
308,3730
309,3736
310,3741
311,3746
312,3751
313,3756
314,3773
315,3787
316,3799
317,3808
318,3816
319,3822
320,3827
321,3832
322,3837
323,3842
324,3859
325,3873
326,3885
327,3894
328,3902
329,3908
330,3913
