tick,tiles
1,0
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
14,33
15,38
16,42
17,46
18,51
19,56
20,61
21,66
22,71
23,76
24,86
25,96
26,107
27,118
28,130
29,143
30,154
31,167
32,178
33,189
34,205
35,220
36,236
37,254
38,271
39,290
40,308
41,326
42,344
43,362
44,384
45,405
46,427
47,451
48,476
49,500
50,524
51,548
52,570
53,591
54,620
55,648
56,676
57,702
58,728
59,752
60,776
61,810
62,844
63,879
64,921
65,959
66,994
67,1031
68,1066
69,1098
70,1128
71,1155
72,1180
73,1202
74,1244
75,1280
76,1312
77,1341
78,1366
79,1392
80,1412
81,1432
82,1450
83,1464
84,1501
85,1534
86,1560
87,1581
88,1603
89,1623
90,1640
91,1655
92,1669
93,1681
94,1714
95,1744
96,1771
97,1793
98,1813
99,1828
100,1845
101,1858
102,1871
103,1882
104,1915
105,1943
106,1969
107,1991
108,2007
109,2022
110,2037
111,2051
112,2062
113,2071
114,2103
115,2128
116,2150
117,2170
118,2189
119,2204
120,2219
121,2231
122,2243
123,2253
124,2285
125,2309
126,2332
127,2352
128,2369
129,2382
130,2394
131,2407
132,2417
133,2426
134,2457
135,2482
136,2505
137,2525
138,2541
139,2554
140,2566
141,2578
142,2588
143,2595
144,2626
145,2648
146,2669
147,2689
148,2705
149,2719
150,2731
151,2741
152,2751
153,2759
154,2789
155,2811
156,2832
157,2851
158,2868
159,2882
160,2893
161,2904
162,2913
163,2919
164,2948
165,2972
166,2992
167,3011
168,3026
169,3039
170,3049
171,3059
172,3067
173,3075
174,3104
175,3126
176,3148
177,3166
178,3180
179,3192
180,3203
181,3213
182,3221
183,3228
184,3256
185,3278
186,3298
187,3316
188,3331
189,3343
190,3355
191,3364
192,3372
193,3377
194,3404
195,3427
196,3445
197,3463
198,3477
199,3489
200,3500
201,3509
202,3516
203,3522
204,3549
205,3572
206,3591
207,3607
208,3621
209,3634
210,3644
211,3652
212,3658
213,3664
214,3691
215,3713
216,3731
217,3747
218,3761
219,3772
220,3781
221,3790
222,3798
223,3804
224,3831
225,3853
226,3870
227,3886
228,3899
229,3911
230,3920
231,3929
232,3936
233,3941
234,3968
235,3991
236,4008
237,4023
238,4036
239,4048
240,4057
241,4066
242,4073
243,4078
244,4105
245,4128
246,4144
247,4158
248,4171
249,4182
250,4192
251,4200
252,4207
253,4213
254,4240
255,4264
256,4280
257,4294
258,4307
259,4318
260,4326
261,4334
262,4340
263,4345
264,4372
265,4395
266,4413
267,4428
268,4440
269,4450
270,4458
271,4466
272,4472
273,4478
274,4505
275,4528
276,4544
277,4559
278,4571
279,4581
280,4590
281,4597
282,4604
283,4609
284,4636
285,4659
286,4676
287,4690
288,4702
289,4712
290,4720
291,4727
292,4733
293,4738
294,4764
295,4787
296,4804
297,4818
298,4830
299,4839
300,4847
301,4854
302,4860
303,4865
304,4892
305,4914
306,4931
307,4943
308,4955
309,4966
310,4973
311,4979
312,4985
313,4990
314,5017
315,5039
316,5058
317,5072
318,5083
319,5092
320,5100
321,5106
322,5111
323,5116
324,5142
325,5164
326,5180
327,5194
328,5205
329,5214
330,5222
331,5229
332,5235
333,5240
334,5267
335,5288
336,5305
337,5319
338,5330
339,5340
340,5347
341,5353
342,5359
343,5364
344,5391
345,5413
346,5430
347,5444
348,5456
349,5465
350,5473
351,5479
352,5484
353,5489
354,5516
355,5537
356,5554
357,5566
358,5577
359,5585
360,5593
361,5600
362,5605
363,5610
364,5636
365,5658
366,5675
367,5687
368,5697
369,5707
370,5714
371,5719
372,5724
373,5729
374,5756
375,5778
376,5793
377,5806
378,5817
379,5826
380,5833
381,5838
382,5843
383,5848
384,5874
385,5896
386,5914
387,5926
388,5936
389,5944
390,5951
391,5956
392,5961
393,5966
394,5992
395,6014
396,6031
397,6043
398,6053
399,6062
400,6069
401,6075
402,6080
403,6085
404,6112
405,6134
406,6152
407,6164
408,6173
409,6181
410,6188
411,6194
412,6199
413,6204
414,6231
415,6253
416,6271
417,6284
418,6294
419,6302
420,6308
421,6313
422,6318
423,6323
424,6350
425,6372
426,6389
427,6401
428,6411
429,6418
430,6425
431,6431
432,6436
433,6441
434,6468
435,6490
436,6507
437,6521
438,6531
439,6539
440,6546
441,6551
442,6556
443,6561
444,6588
445,6610
446,6627
447,6638
448,6647
449,6655
450,6661
451,6666
452,6671
453,6676
454,6703
455,6724
456,6741
457,6754
458,6763
459,6771
460,6777
461,6782
462,6787
463,6792
464,6819
465,6840
466,6857
467,6870
468,6880
469,6887
470,6894
471,6899
472,6904
473,6909
474,6936
475,6958
476,6975
477,6989
478,6999
479,7006
480,7012
481,7017
482,7022
483,7027
484,7054
485,7076
486,7093
487,7107
488,7116
489,7124
490,7130
491,7135
492,7140
493,7145
494,7172
