tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
74,52
75,52
76,52
77,52
78,52
79,52
80,52
81,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
92,52
93,52
94,52
95,52
96,52
97,52
98,52
99,52
100,52
101,52
102,52
103,52
104,52
105,52
106,52
107,52
108,52
109,52
110,52
111,52
112,52
113,52
114,52
115,52
116,52
117,52
118,52
119,52
120,52
121,52
122,52
123,52
124,52
125,52
126,52
127,52
128,52
129,52
130,52
131,52
132,52
133,52
134,52
135,52
136,52
137,52
138,52
139,52
140,52
141,52
142,52
143,52
144,64
145,76
146,90
147,105
148,123
149,141
150,161
151,184
152,207
153,232
154,258
155,284
156,312
157,341
158,371
159,403
160,437
161,470
162,506
163,544
164,582
165,620
166,658
167,698
168,742
169,785
170,831
171,879
172,928
173,977
174,1030
175,1082
176,1135
177,1191
178,1247
179,1307
180,1369
181,1433
182,1496
183,1560
184,1627
185,1694
186,1762
187,1830
188,1901
189,1974
190,2043
191,2105
192,2159
193,2206
194,2279
195,2352
196,2424
197,2497
198,2574
199,2654
200,2734
201,2810
202,2875
203,2928
204,2973
205,3010
206,3040
207,3066
208,3085
209,3101
210,3115
211,3126
212,3136
213,3144
214,3150
215,3155
216,3159
217,3163
218,3167
219,3171
220,3175
221,3179
222,3180
223,3180
224,3180
225,3180
226,3180
227,3180
228,3180
229,3180
230,3180
231,3180
232,3180
233,3180
234,3180
235,3180
236,3180
237,3180
238,3180
239,3180
240,3180
241,3180
242,3180
243,3180
244,3255
245,3329
246,3405
247,3485
248,3568
249,3650
250,3734
251,3816
252,3881
253,3936
254,3982
255,4019
256,4050
257,4073
258,4093
259,4108
260,4120
261,4129
262,4137
263,4144
264,4149
265,4154
266,4159
267,4164
268,4168
269,4168
270,4168
271,4168
272,4168
273,4168
274,4168
275,4168
276,4168
277,4168
278,4168
279,4168
280,4168
281,4168
282,4168
283,4168
284,4168
285,4168
286,4168
287,4168
288,4168
289,4168
290,4168
291,4168
292,4168
293,4168
294,4168
295,4168
296,4168
297,4168
298,4168
299,4168
300,4168
301,4168
302,4168
303,4168
304,4168
305,4168
306,4168
307,4168
308,4168
309,4168
310,4168
311,4168
312,4168
313,4168
314,4253
315,4334
316,4415
317,4499
318,4584
319,4671
320,4762
321,4855
322,4947
323,5041
324,5139
325,5234
326,5320
327,5389
328,5440
329,5482
330,5514
331,5540
332,5559
333,5574
334,5586
335,5595
336,5602
337,5608
338,5613
339,5618
340,5623
341,5626
342,5626
343,5626
344,5626
345,5626
346,5626
347,5626
348,5626
349,5626
350,5626
351,5626
352,5626
