tick,tiles
1,0
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
11,28
12,28
13,28
14,28
15,28
16,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
25,28
26,28
27,28
28,28
29,28
30,28
31,28
32,28
33,28
34,28
35,28
36,28
37,28
38,28
39,28
40,28
41,28
42,28
43,28
44,28
45,28
46,28
47,28
48,28
49,28
50,28
51,28
52,28
53,28
54,28
55,28
56,28
57,28
58,28
59,28
60,28
61,28
62,28
63,28
64,28
65,28
66,28
67,28
68,28
69,28
70,28
71,28
72,28
73,28
74,28
75,28
76,28
77,28
78,28
79,28
80,28
81,28
82,28
83,28
84,33
85,37
86,42
87,47
88,52
89,57
90,62
91,68
92,74
93,80
94,91
95,102
96,112
97,124
98,136
99,149
100,161
101,174
102,189
103,202
104,219
105,237
106,255
107,272
108,290
109,309
110,330
111,353
112,377
113,398
114,425
115,451
116,479
117,504
118,530
119,556
120,581
121,606
122,628
123,648
124,676
125,705
126,734
127,765
128,799
129,836
130,873
131,912
132,954
133,991
134,1037
135,1080
136,1120
137,1160
138,1202
139,1241
140,1274
141,1304
142,1331
143,1354
144,1400
145,1442
146,1474
147,1506
148,1535
149,1561
150,1586
151,1604
152,1623
153,1640
154,1682
155,1717
156,1746
157,1774
158,1796
159,1817
160,1836
161,1853
162,1866
163,1877
164,1913
165,1947
166,1975
167,1998
168,2019
169,2038
170,2052
171,2066
172,2078
173,2088
174,2123
175,2156
176,2182
177,2205
178,2223
179,2240
180,2254
181,2267
182,2279
183,2286
184,2321
185,2351
186,2376
187,2398
188,2415
189,2430
190,2443
191,2455
192,2465
193,2474
194,2508
195,2535
196,2560
197,2581
198,2598
199,2613
200,2627
201,2636
202,2646
203,2655
204,2688
205,2715
206,2738
207,2760
208,2778
209,2791
210,2803
211,2813
212,2822
213,2828
214,2861
215,2888
216,2910
217,2928
218,2945
219,2960
220,2970
221,2980
222,2988
223,2996
224,3029
225,3053
226,3075
227,3096
228,3113
229,3126
230,3136
231,3146
232,3154
233,3161
