tick,tiles
1,0
2,52
3,52
4,58
5,64
6,70
7,76
8,82
9,88
10,94
11,100
12,107
13,114
14,120
15,126
16,131
17,136
18,141
19,146
20,151
21,156
22,161
23,165
24,169
25,173
26,177
27,181
28,184
29,187
30,190
31,193
32,196
33,199
34,202
35,205
36,208
37,211
38,214
39,217
40,220
41,222
42,224
43,226
44,228
45,230
46,232
47,234
48,236
49,238
50,240
51,242
52,243
53,244
54,245
55,246
56,247
57,248
58,249
59,250
60,251
61,252
62,253
63,254
64,255
65,256
66,257
67,258
68,259
69,260
70,261
71,262
72,263
73,264
74,265
75,266
76,267
77,267
78,267
79,267
80,267
81,267
82,267
83,267
84,267
85,267
86,267
87,267
88,267
89,267
90,267
91,267
92,267
93,267
94,267
95,267
96,267
97,267
98,267
99,267
100,267
101,267
102,267
103,267
104,267
105,267
106,267
107,267
108,267
109,267
110,267
111,267
112,267
113,267
114,267
115,267
116,267
117,267
118,267
119,267
120,267
121,267
122,267
123,267
124,267
125,267
126,267
127,267
128,267
129,267
130,267
131,267
132,267
133,267
134,267
135,267
136,267
137,267
138,267
139,267
140,267
141,267
142,267
143,267
144,267
145,267
146,267
147,267
148,267
149,267
150,267
151,267
152,267
153,267
154,267
155,267
156,267
157,267
158,267
159,267
160,267
161,267
162,267
163,267
164,267
165,267
166,267
167,267
168,267
169,267
170,267
171,267
172,267
173,267
174,267
175,267
176,267
177,267
178,267
179,267
180,267
181,267
182,267
183,267
184,267
185,267
186,267
187,267
188,267
189,267
190,267
191,267
192,267
193,267
194,267
195,267
196,267
197,267
198,267
199,267
200,267
201,267
202,267
203,267
204,267
205,267
206,267
207,267
208,267
209,267
210,267
211,267
212,267
213,267
214,267
215,267
216,267
217,267
218,267
219,267
220,267
221,267
222,267
223,267
224,267
225,267
226,267
227,267
228,267
229,267
230,267
231,267
232,267
233,267
234,267
235,267
236,267
237,267
238,267
239,267
240,267
241,267
242,267
243,267
244,267
245,267
246,267
247,267
248,267
249,267
250,267
251,267
252,267
253,267
254,267
255,267
256,267
257,267
258,267
259,267
260,267
261,267
262,267
263,267
264,267
265,267
266,267
267,267
268,267
269,267
270,267
271,267
272,267
273,267
274,267
275,267
276,267
277,267
278,267
279,267
280,267
281,267
282,267
283,267
284,267
285,267
286,267
287,267
288,267
289,267
290,267
291,267
292,267
293,267
294,267
295,267
296,267
297,267
298,267
299,267
300,267
301,267
302,267
303,267
304,267
305,267
306,267
307,267
308,267
309,267
310,267
311,267
312,267
313,267
314,267
315,267
316,267
317,267
318,267
319,267
320,267
321,267
322,267
323,267
324,267
325,267
326,267
327,267
328,267
329,267
330,267
331,267
332,267
333,267
334,267
335,267
336,267
337,267
338,267
339,267
340,267
341,267
342,267
343,267
344,267
345,267
346,267
347,267
348,267
349,267
350,267
351,267
352,267
353,267
354,267
355,267
356,267
357,267
358,267
359,267
360,267
361,267
362,267
363,267
364,267
365,267
366,267
367,267
368,267
369,267
370,267
371,267
372,267
373,267
374,267
375,267
376,267
377,267
378,267
379,267
380,267
381,267
382,267
383,267
384,267
385,267
386,267
387,267
388,267
389,267
390,267
391,267
392,267
393,267
394,267
395,267
396,267
397,267
