tick,tiles
1,0
2,52
3,52
4,60
5,68
6,76
7,85
8,93
9,102
10,111
11,119
12,127
13,135
14,153
15,172
16,191
17,209
18,227
19,246
20,264
21,283
22,300
23,317
24,348
25,377
26,405
27,431
28,455
29,479
30,503
31,526
32,547
33,566
34,603
35,637
36,669
37,697
38,722
39,747
40,770
41,790
42,809
43,825
44,860
45,892
46,920
47,946
48,969
49,990
50,1010
51,1027
52,1042
53,1056
54,1090
55,1119
56,1145
57,1168
58,1188
59,1206
60,1222
61,1236
62,1249
63,1260
64,1290
65,1318
66,1343
67,1365
68,1384
69,1401
70,1415
71,1428
72,1440
73,1450
74,1480
75,1506
76,1529
77,1548
78,1566
79,1582
80,1595
81,1606
82,1616
83,1625
84,1655
85,1680
86,1702
87,1721
88,1737
89,1751
90,1764
91,1775
92,1784
93,1792
94,1820
95,1845
96,1867
97,1885
98,1900
99,1913
100,1924
101,1933
102,1942
103,1949
104,1977
105,2000
106,2021
107,2038
108,2052
109,2064
110,2074
111,2083
112,2091
113,2098
114,2126
115,2148
116,2167
117,2184
118,2198
119,2209
120,2219
121,2228
122,2235
123,2241
124,2267
125,2289
126,2307
127,2323
128,2336
129,2347
130,2357
131,2366
132,2373
133,2379
134,2405
135,2425
136,2442
137,2457
138,2469
139,2480
140,2490
141,2498
142,2505
143,2511
144,2535
145,2555
146,2572
147,2587
148,2600
149,2610
150,2619
151,2627
152,2633
153,2639
154,2662
155,2682
156,2699
157,2714
158,2727
159,2737
160,2745
161,2753
162,2759
163,2765
164,2788
165,2806
166,2822
167,2836
168,2848
169,2858
170,2867
171,2875
172,2881
173,2887
174,2910
175,2928
176,2944
177,2958
178,2970
179,2980
180,2988
181,2995
182,3002
183,3007
184,3028
185,3046
186,3061
187,3075
188,3086
189,3096
190,3105
191,3111
192,3117
193,3122
194,3143
195,3162
196,3176
197,3189
198,3200
199,3209
200,3217
201,3224
202,3230
203,3235
204,3256
205,3275
206,3288
207,3301
208,3312
209,3322
210,3329
211,3336
212,3342
213,3347
214,3367
215,3385
216,3399
217,3411
218,3422
219,3432
220,3440
221,3447
222,3453
223,3458
224,3478
225,3493
226,3507
227,3520
228,3530
229,3539
230,3546
231,3553
232,3559
233,3564
234,3584
235,3601
236,3614
237,3626
238,3637
239,3646
240,3654
241,3661
242,3667
243,3672
244,3692
245,3709
246,3721
247,3733
248,3744
249,3753
250,3760
251,3766
252,3772
253,3777
254,3797
255,3812
256,3825
257,3837
258,3847
259,3856
260,3864
261,3870
262,3876
263,3881
264,3900
265,3917
266,3929
267,3940
268,3951
269,3960
270,3968
271,3974
272,3980
273,3985
274,4003
275,4019
276,4032
277,4043
278,4053
279,4062
280,4069
281,4076
282,4081
283,4086
284,4104
285,4120
286,4132
287,4143
288,4153
289,4162
290,4170
291,4176
292,4181
293,4186
294,4204
295,4220
296,4232
297,4244
298,4254
299,4263
300,4270
301,4276
302,4281
303,4286
304,4303
305,4319
306,4331
307,4341
308,4350
309,4359
310,4367
311,4373
312,4378
313,4383
314,4401
315,4417
316,4429
317,4440
318,4450
319,4458
320,4466
321,4472
322,4478
323,4482
324,4499
325,4515
326,4528
327,4538
328,4548
