eval_index,update,episode,window_start_tick,window_mid_tick,tiles_at_start,tile_gain,episode_total_ticks
0,59,2026-09-10T23-13-41-919_92badf09,1,251,0,264,7231
0,59,2026-09-10T23-13-41-919_92badf09,501,751,264,0,7231
0,59,2026-09-10T23-13-41-919_92badf09,1001,1251,264,0,7231
0,59,2026-09-10T23-13-41-919_92badf09,1501,1751,264,0,7231
0,59,2026-09-10T23-13-41-919_92badf09,2001,2251,264,3289,7231
0,59,2026-09-10T23-13-41-919_92badf09,2501,2751,3553,1053,7231
0,59,2026-09-10T23-13-41-919_92badf09,3001,3251,4606,975,7231
0,59,2026-09-10T23-13-41-919_92badf09,3501,3751,5581,1024,7231
0,59,2026-09-10T23-13-41-919_92badf09,4001,4251,6605,1041,7231
0,59,2026-09-10T23-13-41-919_92badf09,4501,4751,7646,-7646,7231
0,59,2026-09-10T23-13-41-919_92badf09,5001,5251,0,0,7231
0,59,2026-09-10T23-13-41-919_92badf09,5501,5751,0,0,7231
0,59,2026-09-10T23-13-41-919_92badf09,6001,6251,0,0,7231
0,59,2026-09-10T23-13-41-919_92badf09,6501,6751,0,0,7231
1,119,2026-09-10T23-27-30-995_fe37ccb7,1,251,0,306,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,501,751,306,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,1001,1251,306,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,1501,1751,306,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,2001,2251,306,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,2501,2751,306,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,3001,3251,306,-306,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,3501,3751,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,4001,4251,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,4501,4751,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,5001,5251,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,5501,5751,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,6001,6251,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,6501,6751,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,7001,7251,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,7501,7751,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,8001,8251,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,8501,8751,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,9001,9251,0,0,11531
1,119,2026-09-10T23-27-30-995_fe37ccb7,9501,9751,0,0,11531
