episode_index,update,difficulty,won,cum_win_rate
0,12,easy,0,0.000000
1,17,easy,0,0.000000
2,20,easy,0,0.000000
3,25,easy,0,0.000000
4,30,easy,0,0.000000
5,32,easy,0,0.000000
6,37,easy,0,0.000000
7,44,easy,0,0.000000
8,45,easy,0,0.000000
9,45,easy,0,0.000000
10,56,easy,0,0.000000
11,61,easy,0,0.000000
12,63,easy,0,0.000000
13,65,easy,0,0.000000
14,69,easy,0,0.000000
15,83,easy,0,0.000000
16,86,easy,0,0.000000
17,103,easy,0,0.000000
18,115,easy,0,0.000000
19,120,easy,0,0.000000
20,125,easy,0,0.000000
21,137,easy,0,0.000000
22,141,easy,0,0.000000
23,155,easy,0,0.000000
24,157,easy,0,0.000000
25,162,easy,0,0.000000
26,164,easy,0,0.000000
27,175,easy,0,0.000000
28,177,easy,0,0.000000
29,177,easy,0,0.000000
30,187,easy,0,0.000000
31,204,easy,1,0.031250
32,204,easy,1,0.060606
33,204,easy,1,0.088235
34,204,easy,0,0.085714
35,216,easy,0,0.083333
36,222,easy,0,0.081081
37,230,easy,0,0.078947
38,233,easy,0,0.076923
39,240,easy,0,0.075000
40,241,easy,0,0.073171
41,251,easy,0,0.071429
42,265,easy,1,0.093023
43,267,easy,1,0.113636
44,269,easy,1,0.133333
45,274,easy,0,0.130435
46,278,easy,0,0.127660
47,280,easy,0,0.125000
48,283,easy,0,0.122449
49,290,easy,1,0.140000
50,293,easy,0,0.137255
51,299,easy,0,0.134615
52,300,easy,0,0.132075
53,321,easy,0,0.129630
54,323,easy,0,0.127273
55,334,easy,0,0.125000
56,338,easy,0,0.122807
57,338,easy,0,0.120690
58,358,easy,0,0.118644
59,365,easy,0,0.116667
60,374,easy,0,0.114754
61,381,easy,0,0.112903
62,388,easy,0,0.111111
63,407,easy,0,0.109375
64,408,easy,1,0.123077
65,408,easy,1,0.136364
66,416,easy,0,0.134328
67,424,easy,0,0.132353
68,426,easy,0,0.130435
69,430,easy,0,0.128571
70,461,easy,0,0.126761
71,466,easy,0,0.125000
72,476,easy,1,0.136986
73,480,easy,0,0.135135
74,483,easy,0,0.133333
75,484,easy,1,0.144737
76,487,easy,1,0.155844
77,493,easy,0,0.153846
78,493,easy,0,0.151899
79,494,easy,0,0.150000
80,502,easy,0,0.148148
81,508,easy,0,0.146341
82,509,easy,0,0.144578
83,510,easy,0,0.142857
84,518,easy,0,0.141176
85,518,easy,0,0.139535
86,521,easy,0,0.137931
87,524,easy,0,0.136364
88,525,easy,0,0.134831
89,536,easy,0,0.133333
90,541,easy,0,0.131868
91,542,easy,1,0.141304
92,545,easy,0,0.139785
93,548,easy,0,0.138298
94,549,easy,0,0.136842
95,551,easy,0,0.135417
96,553,easy,0,0.134021
97,565,easy,0,0.132653
98,567,easy,0,0.131313
99,567,easy,0,0.130000
100,567,easy,0,0.128713
101,572,easy,0,0.127451
102,577,easy,0,0.126214
103,582,easy,0,0.125000
104,585,easy,0,0.123810
105,588,easy,0,0.122642
106,590,easy,0,0.121495
107,602,easy,0,0.120370
108,607,easy,0,0.119266
109,608,easy,0,0.118182
110,610,easy,0,0.117117
111,611,easy,0,0.116071
112,627,easy,0,0.115044
113,627,easy,0,0.114035
114,629,easy,0,0.113043
115,631,easy,0,0.112069
116,632,easy,0,0.111111
117,639,easy,0,0.110169
118,640,easy,0,0.109244
119,648,easy,0,0.108333
120,648,easy,0,0.107438
121,655,easy,0,0.106557
122,663,easy,0,0.105691
123,664,easy,0,0.104839
124,666,easy,0,0.104000
125,667,easy,0,0.103175
126,671,easy,0,0.102362
127,672,easy,0,0.101562
128,683,easy,0,0.100775
129,687,easy,0,0.100000
130,693,easy,0,0.099237
131,694,easy,0,0.098485
132,697,easy,0,0.097744
133,713,easy,0,0.097015
134,729,easy,1,0.103704
135,736,easy,0,0.102941
136,754,easy,0,0.102190
137,757,easy,0,0.101449
