tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
74,52
75,52
76,52
77,52
78,52
79,52
80,52
81,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
92,52
93,52
94,52
95,52
96,52
97,52
98,52
99,52
100,52
101,52
102,52
103,52
104,52
105,52
106,52
107,52
108,52
109,52
110,52
111,52
112,52
113,52
114,52
115,52
116,52
117,52
118,52
119,52
120,52
121,52
122,52
123,52
124,52
125,52
126,52
127,52
128,52
129,52
130,52
131,52
132,52
133,52
134,52
135,52
136,52
137,52
138,52
139,52
140,52
141,52
142,52
143,52
144,64
145,76
146,91
147,107
148,126
149,144
150,164
151,187
152,210
153,233
154,259
155,286
156,315
157,346
158,378
159,410
160,444
161,481
162,518
163,555
164,597
165,638
166,680
167,722
168,768
169,815
170,863
171,915
172,968
173,1021
174,1073
175,1121
176,1169
177,1220
178,1271
179,1320
180,1374
181,1429
182,1484
183,1537
184,1594
185,1648
186,1701
187,1757
188,1809
189,1864
190,1921
191,1980
192,2039
193,2097
194,2161
195,2221
196,2281
197,2341
198,2405
199,2470
200,2533
201,2593
202,2647
203,2695
204,2762
205,2828
206,2891
207,2948
208,2997
209,3040
210,3077
211,3109
212,3135
213,3157
214,3222
215,3275
216,3321
217,3361
218,3395
219,3424
220,3448
221,3469
222,3487
223,3502
224,3558
225,3604
226,3643
227,3676
228,3704
229,3728
230,3747
231,3764
232,3779
233,3791
234,3843
235,3885
236,3920
237,3950
238,3976
239,3998
240,4016
241,4032
242,4045
243,4055
244,4105
245,4145
246,4178
247,4206
248,4229
249,4248
250,4264
251,4277
252,4288
253,4297
254,4343
255,4380
256,4411
257,4437
258,4459
259,4477
260,4492
261,4505
262,4515
263,4524
264,4567
265,4602
266,4631
267,4655
268,4675
269,4692
270,4706
271,4718
272,4727
273,4735
274,4776
275,4810
276,4837
277,4860
278,4879
279,4895
280,4908
281,4919
282,4928
283,4935
284,4974
285,5006
286,5032
287,5053
288,5071
289,5086
290,5098
291,5108
292,5116
293,5123
294,5160
295,5191
296,5216
297,5236
298,5252
299,5266
300,5277
301,5286
302,5294
303,5300
304,5336
305,5365
306,5389
307,5408
308,5424
309,5437
310,5448
311,5456
312,5463
313,5469
314,5503
315,5531
316,5554
317,5572
318,5587
319,5600
320,5610
321,5618
322,5625
323,5630
324,5663
325,5690
326,5712
327,5730
328,5744
329,5756
330,5765
331,5773
332,5779
333,5784
334,5815
335,5841
336,5862
337,5879
338,5893
339,5904
340,5913
341,5920
342,5926
343,5931
344,5961
345,5986
346,6006
347,6023
348,6036
349,6047
350,6056
351,6063
352,6069
