tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,63
65,75
66,88
67,101
68,114
69,127
70,142
71,156
72,171
73,185
74,206
75,226
76,248
77,272
78,298
79,325
80,354
81,384
82,417
83,446
84,480
85,514
86,549
87,586
88,622
89,661
90,702
91,741
92,780
93,816
94,864
95,911
96,959
97,1009
98,1056
99,1099
100,1138
101,1174
102,1205
103,1232
104,1289
105,1339
106,1382
107,1420
108,1454
109,1485
110,1511
111,1532
112,1550
113,1567
114,1612
115,1650
116,1683
117,1712
118,1739
119,1763
120,1783
121,1801
122,1818
123,1832
124,1872
125,1907
126,1938
127,1966
128,1990
129,2011
130,2030
131,2048
132,2062
133,2075
134,2114
135,2146
136,2175
137,2200
138,2222
139,2243
140,2260
141,2275
142,2288
143,2300
144,2337
145,2367
146,2394
147,2417
148,2438
149,2456
150,2472
151,2486
152,2498
153,2508
154,2542
155,2571
156,2596
157,2618
158,2637
159,2654
160,2669
161,2682
162,2693
163,2703
164,2735
165,2762
166,2786
167,2807
168,2825
169,2841
170,2854
171,2867
172,2877
173,2886
174,2916
175,2943
176,2965
177,2984
178,3001
179,3016
180,3029
181,3040
182,3050
183,3059
184,3088
185,3114
186,3136
187,3155
188,3172
189,3186
190,3198
191,3208
192,3217
193,3225
194,3254
195,3278
196,3298
197,3316
198,3332
199,3345
200,3356
201,3366
202,3375
203,3382
204,3409
205,3433
206,3453
207,3470
208,3484
209,3496
210,3507
211,3517
212,3525
213,3532
214,3559
215,3583
216,3602
217,3618
218,3632
219,3644
220,3654
221,3663
222,3670
223,3676
224,3701
225,3723
226,3742
227,3758
228,3772
229,3783
230,3793
231,3801
232,3808
233,3814
234,3839
235,3861
236,3879
237,3894
238,3907
239,3918
240,3927
241,3935
242,3942
243,3948
244,3971
245,3992
246,4010
247,4025
248,4037
249,4047
250,4056
251,4064
252,4071
253,4077
254,4100
255,4120
256,4137
257,4152
258,4164
259,4174
260,4182
261,4189
262,4195
263,4200
264,4223
265,4243
266,4260
267,4274
268,4286
269,4296
270,4304
271,4311
272,4317
273,4322
274,4344
275,4363
276,4380
277,4393
278,4404
279,4413
280,4421
281,4428
282,4434
283,4439
284,4461
285,4479
286,4495
287,4508
288,4519
289,4528
290,4536
291,4543
292,4548
293,4553
294,4574
295,4592
296,4607
297,4620
298,4631
299,4640
300,4647
301,4654
302,4659
303,4664
304,4685
305,4703
306,4718
307,4731
308,4742
309,4751
310,4758
311,4764
312,4769
313,4773
314,4793
315,4811
316,4826
317,4838
318,4849
319,4857
320,4864
321,4870
322,4875
323,4879
324,4899
325,4916
326,4931
327,4943
328,4953
329,4961
330,4968
331,4974
332,4979
333,4983
334,5003
335,5020
336,5035
337,5047
