tick,tiles
1,0
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
14,52
15,52
16,52
17,52
18,52
19,52
20,52
21,52
22,52
23,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,52
61,52
62,52
63,52
64,52
65,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
74,52
75,52
76,52
77,52
78,52
79,52
80,52
81,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,52
90,52
91,52
92,52
93,52
94,52
95,52
96,52
97,52
98,52
99,52
100,52
101,52
102,52
103,52
104,52
105,52
106,52
107,52
108,52
109,52
110,52
111,52
112,52
113,52
114,52
115,52
116,52
117,52
118,52
119,52
120,52
121,52
122,52
123,52
124,52
125,52
126,52
127,52
128,52
129,52
130,52
131,52
132,52
133,52
134,52
135,52
136,52
137,52
138,52
139,52
140,52
141,52
142,52
143,52
144,52
145,52
146,52
147,52
148,52
149,52
150,52
151,52
152,52
153,52
154,52
155,52
156,52
157,52
158,52
159,52
160,52
161,52
162,52
163,52
164,64
165,76
166,91
167,107
168,126
169,144
170,164
171,187
172,210
173,233
174,259
175,286
176,315
177,346
178,378
179,410
180,444
181,481
182,518
183,555
184,597
185,638
186,680
187,722
188,768
189,815
190,863
191,915
192,968
193,1021
194,1073
195,1121
196,1169
197,1220
198,1271
199,1320
200,1374
201,1429
202,1484
203,1537
204,1594
205,1648
206,1701
207,1757
208,1809
209,1864
210,1921
211,1980
212,2039
213,2097
214,2161
215,2221
216,2281
217,2341
218,2405
219,2470
220,2533
221,2598
222,2663
223,2730
224,2797
225,2863
226,2930
227,2997
228,3066
229,3131
230,3188
231,3237
232,3278
233,3314
234,3385
235,3449
236,3504
237,3552
238,3593
239,3629
240,3660
241,3686
242,3707
243,3725
244,3786
245,3836
246,3879
247,3916
248,3947
249,3972
250,3993
251,4011
252,4026
253,4040
254,4096
255,4141
256,4179
257,4211
258,4238
259,4260
260,4278
261,4293
262,4306
263,4317
264,4368
265,4410
266,4444
267,4472
268,4496
269,4516
270,4533
271,4547
272,4559
273,4569
274,4617
275,4657
276,4689
277,4716
278,4739
279,4758
280,4773
281,4787
282,4798
283,4807
284,4851
285,4888
286,4919
287,4944
288,4965
289,4982
290,4996
291,5008
292,5018
293,5026
294,5068
295,5104
296,5132
297,5155
298,5175
299,5191
300,5204
301,5215
302,5224
303,5231
304,5272
305,5305
306,5332
307,5355
308,5373
309,5388
310,5400
311,5410
312,5419
313,5426
314,5464
315,5496
316,5522
317,5543
318,5560
319,5574
320,5586
321,5596
322,5604
323,5610
324,5647
325,5678
326,5703
327,5723
328,5739
329,5752
330,5763
331,5772
332,5779
333,5785
334,5820
335,5850
336,5874
337,5893
338,5908
339,5921
340,5931
341,5939
342,5946
343,5952
344,5986
345,6014
346,6037
347,6055
348,6070
349,6082
350,6092
351,6100
352,6106
353,6112
354,6145
355,6172
356,6194
